,seed_title,seed_url,seed_creator,rec_title,rec_url,rec_creator
23,JUST IN: Senate Republicans rip into Democrats in angry press conference,https://www.youtube.com//watch?v=v8KTGOLqU0o,Forbes Breaking News,"JUST IN: Ted Cruz Calls Hollywood ""Social Justice Warriors"" For Censoring Content To Appease China",https://www.youtube.com//watch?v=J9gzPiAAfuo,Forbes Breaking News
24,JUST IN: Senate Republicans rip into Democrats in angry press conference,https://www.youtube.com//watch?v=v8KTGOLqU0o,Forbes Breaking News,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com//watch?v=yZYQpge1W5s,British GQ
25,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com//watch?v=yZYQpge1W5s,British GQ,Heated debate on gender pronouns and free speech in Toronto,https://www.youtube.com//watch?v=SiijS_9hPkM&t=14s,CBC News
26,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com//watch?v=yZYQpge1W5s,British GQ,Hidden cameras expose Kim Jong-un's clandestine weapon and drugs trade  | 60 Minutes Australia,https://www.youtube.com//watch?v=1J1zAnA2Wds,60 Minutes Australia
27,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com//watch?v=yZYQpge1W5s,British GQ,Michio Kaku: The Universe in a Nutshell (Full Presentation) | Big Think,https://www.youtube.com//watch?v=0NbBjNiw4tk,Big Think
28,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com//watch?v=yZYQpge1W5s,British GQ,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",https://www.youtube.com//watch?v=aMcjxSThD54,Channel 4 News
29,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com//watch?v=yZYQpge1W5s,British GQ,Ghost Stories with Jordan Peterson,https://www.youtube.com//watch?v=GE_mKeDMHm8,H3 Podcast Highlights
30,Ghost Stories with Jordan Peterson,https://www.youtube.com//watch?v=GE_mKeDMHm8,H3 Podcast Highlights,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",https://www.youtube.com//watch?v=aMcjxSThD54,Channel 4 News
31,Ghost Stories with Jordan Peterson,https://www.youtube.com//watch?v=GE_mKeDMHm8,H3 Podcast Highlights,H3 Podcast #37 - Jordan Peterson,https://www.youtube.com//watch?v=vx4ltQhdlhg,H3 Podcast
32,Ghost Stories with Jordan Peterson,https://www.youtube.com//watch?v=GE_mKeDMHm8,H3 Podcast Highlights,Jordan Peterson Shares His Thoughts on Hitler,https://www.youtube.com//watch?v=6dwsYWF7TXI,H3 Podcast Highlights
33,Ghost Stories with Jordan Peterson,https://www.youtube.com//watch?v=GE_mKeDMHm8,H3 Podcast Highlights,Quantum Fields: The Real Building Blocks of the Universe - with David Tong,https://www.youtube.com//watch?v=zNVQfWC_evg,The Royal Institution
34,Ghost Stories with Jordan Peterson,https://www.youtube.com//watch?v=GE_mKeDMHm8,H3 Podcast Highlights,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com//watch?v=IdjdNgvF42o,JRE Clips
35,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com//watch?v=IdjdNgvF42o,JRE Clips,When China Rules the World,https://www.youtube.com//watch?v=3G1EyvRZmOs,The University of Melbourne
36,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com//watch?v=IdjdNgvF42o,JRE Clips,The future we're building -- and boring | Elon Musk,https://www.youtube.com//watch?v=zIwLWfaAg-8,TED
37,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com//watch?v=IdjdNgvF42o,JRE Clips,Texas Crush 60's -VS- Legacy Sports USA 60's,https://www.youtube.com//watch?v=fqaPeQw4GAw,Senior Softball Bat Reviews
38,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com//watch?v=IdjdNgvF42o,JRE Clips,Trash Talker Wanted To Bet a $1000 & Then SH** Got CRAZY!! Things Got Heated & WILD at The Park!,https://www.youtube.com//watch?v=Gsb6VNgeCBQ,Ballislife
39,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com//watch?v=IdjdNgvF42o,JRE Clips,Guilty until proven innocent.,https://www.youtube.com//watch?v=BemHqUqcpI8,JCS - Criminal Psychology
40,When China Rules the World,https://www.youtube.com//watch?v=3G1EyvRZmOs,The University of Melbourne,Scottish independence: could Britain break up? | The Economist,https://www.youtube.com//watch?v=kBHZiXUDV6A,The Economist
41,When China Rules the World,https://www.youtube.com//watch?v=3G1EyvRZmOs,The University of Melbourne,Trump slams Biden's border failures in 'Hannity' exclusive,https://www.youtube.com//watch?v=jMzZ8e8kzKQ,Fox News
42,When China Rules the World,https://www.youtube.com//watch?v=3G1EyvRZmOs,The University of Melbourne,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com//watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County
43,When China Rules the World,https://www.youtube.com//watch?v=3G1EyvRZmOs,The University of Melbourne,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com//watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County
44,When China Rules the World,https://www.youtube.com//watch?v=3G1EyvRZmOs,The University of Melbourne,What Happens When China Becomes Number One?,https://www.youtube.com//watch?v=RO3izbn201s,Harvard Kennedy School's Institute of Politics
45,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com//watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,War & Human Nature: Hertog Conversations with Victor Davis Hanson,https://www.youtube.com//watch?v=73fSS6H1FOQ,Hertog Foundation
46,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com//watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,Jordan Peterson | Full Address and Q&A | Oxford Union,https://www.youtube.com//watch?v=UZMIbo_DxJk,OxfordUnion
47,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com//watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,Candace Owens - The Adam Carolla Show,https://www.youtube.com//watch?v=DjwAr6qDpeY,Adam Carolla
48,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com//watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,How Prussia Ended The French Empire: Franco-Prussian War | Animated History,https://www.youtube.com//watch?v=xVISzFmBiPU,The Armchair Historian
49,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com//watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,The Truth About my Son,https://www.youtube.com//watch?v=ybPgmjTRvMo,Mark Rober
50,Candace Owens - The Adam Carolla Show,https://www.youtube.com//watch?v=DjwAr6qDpeY,Adam Carolla,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com//watch?v=m2zZMg7SNWA,Sky News Australia
51,Candace Owens - The Adam Carolla Show,https://www.youtube.com//watch?v=DjwAr6qDpeY,Adam Carolla,Steve Bannon | Full Address and Q&A | Oxford Union,https://www.youtube.com//watch?v=8AtOw-xyMo8,OxfordUnion
52,Candace Owens - The Adam Carolla Show,https://www.youtube.com//watch?v=DjwAr6qDpeY,Adam Carolla,Tucker Carlson on The Adam Carolla Show,https://www.youtube.com//watch?v=WUnqT1Hg8qo,Adam Carolla
53,Candace Owens - The Adam Carolla Show,https://www.youtube.com//watch?v=DjwAr6qDpeY,Adam Carolla,Steve Bannon | Full Address and Q&A | Oxford Union,https://www.youtube.com//watch?v=8AtOw-xyMo8,OxfordUnion
54,Candace Owens - The Adam Carolla Show,https://www.youtube.com//watch?v=DjwAr6qDpeY,Adam Carolla,Jordan Peterson: From the Barricades of the Culture Wars,https://www.youtube.com//watch?v=v6H2HmKDbZA,The Aspen Institute
55,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com//watch?v=m2zZMg7SNWA,Sky News Australia,Lectures: Exploring the Psychology of Creativity,https://www.youtube.com//watch?v=KxGPe1jD-qY,National Gallery of Canada
56,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com//watch?v=m2zZMg7SNWA,Sky News Australia,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com//watch?v=IqQBLIzDDUQ,The Sun
57,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com//watch?v=m2zZMg7SNWA,Sky News Australia,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com//watch?v=IqQBLIzDDUQ,The Sun
58,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com//watch?v=m2zZMg7SNWA,Sky News Australia,It is 'not the first time' the ABC 'deliberately and deceptively' edited something,https://www.youtube.com//watch?v=R0NbEYOLKww,Sky News Australia
59,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com//watch?v=m2zZMg7SNWA,Sky News Australia,'Racism has been redefined' Bret Weinstein on woke science & how humans succeed - BQ #31,https://www.youtube.com//watch?v=k1YZkAdn3Ls,The Sun
60,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com//watch?v=IqQBLIzDDUQ,The Sun,Tucker: Canada sending COVID positive travelers to 'internment' facilities,https://www.youtube.com//watch?v=QDIfFb5z7eQ,Fox News
61,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com//watch?v=IqQBLIzDDUQ,The Sun,Jordan Peterson | Full Address and Q&A | Oxford Union,https://www.youtube.com//watch?v=UZMIbo_DxJk,OxfordUnion
